title,audience_score,number_of_audience_ratings,movie_genre,movie_author,movie_director,ranking,critic_score,number_of_critic_ratings
The Wizard of Oz (1939),89,874425,"Classics,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",King Vidor,"Florence Ryerson, Noel Langley, Edgar Allan Woolf",1,99,110
The Wrestler (2008),88,139795,Drama,Darren Aronofsky,"Robert D. Siegel, Darren Aronofsky",75,98,222
Toy Story (1995),92,1107731,"Animation,Comedy,Kids & Family,Science Fiction & Fantasy",John Lasseter,"Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow",98,100,78
Toy Story 2 (1999),86,998186,"Animation,Comedy,Kids & Family,Science Fiction & Fantasy",Ash Brannon,"Doug Chamberlain, Rita Hsiao, Doug Chamberlin, Chris Webb, Ash Brannon, John Lasseter, Pete Docter, Andrew Stanton",41,100,163
Toy Story 3 (2010),89,605098,"Animation,Comedy,Kids & Family,Science Fiction & Fantasy",Lee Unkrich,"Lee Unkrich, Andrew Stanton, John Lasseter, Michael Arndt",39,99,291
The Treasure of the Sierra Madre (1948),93,25627,"Action & Adventure,Classics,Drama,Western",John Huston,John Huston,51,100,45
Up (2009),90,1201878,"Action & Adventure,Animation,Comedy,Kids & Family",Pete Docter,"Bob Peterson, Pete Docter, Tom McCarthy, Ronnie del Carmen",52,98,286
Vertigo (1958),93,101454,"Classics,Drama,Mystery & Suspense,Romance",Alfred Hitchcock,"Samuel W. Taylor, Samuel A. Taylor, Alec Coppel",66,97,64
The Wages of Fear (1953),95,8536,"Art House & International,Drama,Mystery & Suspense",Henri-Georges Clouzot,"Henri-Georges Clouzot, Jerome Geronimi",91,100,40
Wonder Woman (2017),90,112955,"Action & Adventure,Drama,Science Fiction & Fantasy",Patty Jenkins,"Allan Heinberg, Zack Snyder, Jason Fuchs",46,92,333
Zootopia (2016),92,98633,"Action & Adventure,Animation,Comedy",Byron Howard,"Jared Bush, Phil Johnston",44,98,249
